objectid,originating_system_id,original_file_name,short_filename,sort_index,parentid,admin_notes,title,interviewer,interviewee,date,description,subject,people,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,WORKSPACE1,WORKSPACE2,WORKSPACE3,object_location,image_small,image_thumb,image_alt_text,object_transcript,coverage,creator,publisher,relation
bldg_dg_1782755244,FEB16trustee,FEB16trustee38.JPG,,,,,"East Campus Loggia, 2015",,,,"A student walks towards the East Campus loggia. November 3, 2015.",East Campus; Campus; Buildings; Students,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782755244.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782755244_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782755244_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782756558,Gates Rawson tower Neowise comet,Gates Rawson tower Neowise comet.JPG,,,,,"Gates Tower and Comet NEOWISE, 2020",,,,"Gates Tower and North Campus dormitories with Comet NEOWISE seen overhead. July 22, 2020",North Campus; Gates Tower; Gates Hall; Rawson Hall; Campus; Buildings; Dormitories; Comet NEOWISE,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782756558.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782756558_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782756558_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782756559,Gates Rawson tower prairie rainbow,Gates Rawson tower prairie rainbow.JPG,,,,,Rainbow Over Gates Tower,,,,"A rainbow arcs across the sky above Gates Tower and North Campus. August 2, 2022. ",North Campus; Gates Tower; Gates Hall; Rawson Hall; Campus; Buildings; Dormitories ,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782756559.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782756559_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782756559_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782756560,HSSC bicycle,HSSC bicycle.JPG,,,,,"Humanities and Social Studies Center (HSSC), 2022, Photograph 1",,,,"A student rides a bike in front of the Humanities and Social Studies Center (HSSC). August 24, 2022.",Humanities and Social Studies Center; HSSC; Campus; Buildings ,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782756560.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782756560_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782756560_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782756561,HSSC shadows,HSSC shadows.JPG,,,,,"Humanities and Social Studies Center (HSSC), 2022, Photograph 2",,,,"Shadows on the atrium walls in the Humanities and Social Studies Center (HSSC). September 19, 2022.",Humanities and Social Studies Center; HSSC; Campus; Buildings ,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782756561.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782756561_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782756561_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782756562,Kershaw Hall fall color,Kershaw Hall fall color.JPG,,,,,"Kershaw Hall Exterior, 2022",,,,"The exterior of Kershaw Hall over the loggia. October 25, 2022.",Kershaw Hall; Campus; Buildings; Dormitories,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782756562.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782756562_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782756562_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782756563,Kington Plaza,Kington Plaza.jpg,,,,,"Humanities and Social Studies Center (HSSC), 2019, Photograph 8",,,,"Two students sit on benches on Kington Plaza in front of the Humanities and Social Studies Center (HSSC). December 5, 2019.",Humanities and Social Studies Center; HSSC; Campus; Buildings; Students,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782756563.jpg,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782756563_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782756563_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782756564,Mears in the fall,Mears in the fall.JPG,,,,,"Mears Hall, 2021",,,,"Mears Hall with fall foliage. November 1, 2021.",Mears Hall; Campus; Buildings; South Campus,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782756564.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782756564_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782756564_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782756565,Norris dorm,Norris dorm.JPG,,,,,"Norris Hall, 2023",,,,"Norris Hall after the 2023 renovation. The decorative perforated steel panel on the front of the building features prairie plants. June 22, 2023.",Norris Hall;  Campus; Buildings; South Campus,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782756565.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782756565_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782756565_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782756566,Noyce Courtyard reflections ,Noyce Courtyard reflections .JPG,,,,,"Noyce Science Center, 2023",,,,"Reflections of the windows of the Noyce Science Center courtyard. April 7, 2023.",Noyce Science Center; Noyce; Campus; Buildings ,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782756566.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782756566_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782756566_TN.jpg,,,,"Hayworth, Justin",,
bldg_dg_1782756567,Steiner Hall west side,Steiner Hall west side.JPG,,,,,"Steiner Hall, 2018",,,,"A photograph of  the front of Steiner Hall taken from Park Street. July 17, 2018.",Steiner Hall;  Campus; Buildings ,,,,,,,Image,Photograph,,,,image,,,,https://dgobjects.blob.core.windows.net/objs/bldg/bldg_dg_1782756567.JPG,https://dgobjects.blob.core.windows.net/smalls/bldg/bldg_dg_1782756567_SMALL.jpg,https://dgobjects.blob.core.windows.net/thumbs/bldg/bldg_dg_1782756567_TN.jpg,,,,"Hayworth, Justin",,
